ETC_20150323_009652	#今結界を発動します。
ETC_20150323_009653	#これで安心です。
ETC_20150323_009654	#壮年の農家
ETC_20150729_013962	#意志とは関係なく、導かれるように、デバイス前方に移動します！
ETC_20150807_014206	#グループの設定{img white_right_arrow 18 18}
ETC_20150807_014207	#{@st41b}閉じる{img red_up_arrow 16 16}
ETC_20150918_014208	#鼻カート
ETC_20150918_014209	#大魔術師ファイアロード
ETC_20150918_014210	#番犬ケルベロス
ETC_20150918_014211	#プルテギ
ETC_20150918_014212	#バットイベント
ETC_20150918_014213	#ルクルレス部隊員
ETC_20150918_014214	#ダーティポール
ETC_20150918_014215	#コープスタワー
ETC_20150918_014216	#ショーゴス
ETC_20150918_014217	#スケルトン兵士
ETC_20150918_014218	#大地のコリーメンウィザード
ETC_20150918_014219	#オレンジコドモール
ETC_20150918_014220	#青いコドモール
ETC_20150918_014221	#赤いコドモール
ETC_20150918_014222	#ペーパーボックス
ETC_20150918_014223	#行くルエト平野
ETC_20150918_014224	#波坂峡谷
ETC_20150918_014225	#マナハース
ETC_20150918_014226	#カニ運び平原
ETC_20150918_014227	#衰退したルグウィン家ダンジョン
ETC_20150918_014228	#魔術師の塔
ETC_20150918_014232	#遺跡のダンジョン
ETC_20150918_014233	#ナクティスの負荷が急襲しました！
ETC_20150918_014234	#ロックトルトゥーガを倒して、天然瑪瑙石を得！
ETC_20150918_014235	#気配を感じたモンスターが急襲しました！
ETC_20150918_014236	#餌に先頭に立たれたモンスターを退治してください！
ETC_20150918_014237	#魂が像に導かれるように保護してください！
ETC_20150918_014238	#力の修正を保護してください！
ETC_20150918_014239	#怠惰の木の根修正を守る保護石が示されている！{nl}保護石を全て破壊してください！
ETC_20150918_014240	#火付いたが、すぐに消えているようだ{nl}コワクに焚き付けを求め火をより地被ください！
ETC_20150918_014241	#変形された木の根元の修正がカクタスベロ変わりました！
ETC_20150918_014242	#このようにすれば..
ETC_20150918_014243	#小さな肖像画を発見しました！{nl}寄せられたモンスターを倒して抜け出てください！
ETC_20150918_014244	#司教の遺体を収拾しよう気配を感じたモンスターたちが集まってきます！
ETC_20150918_014245	#探しスラブではないようです！
ETC_20150918_014246	#碑文の周りに現れたモンスターを退治してください！
ETC_20150918_014247	#どんな音が覚めた。
ETC_20150918_014248	#人生かして！
ETC_20150918_014249	#兵士を死に追いやったモンスターが示されている！{nl}これら倒して兵士の冥福を祈ってください！
ETC_20150918_014250	#うわあああ！
ETC_20150918_014251	#ボックスを開けると、赤いブーベ投写がまくり化をします！
ETC_20150918_014252	#シム！
ETC_20150918_014253	#負傷者が多いな。助けが必要
ETC_20150918_014254	#強化された可視花粉覚せい剤を飲んだ後を通ってくる！
ETC_20150918_014255	#守護者たちから王陵石灯を保護してください！
ETC_20150918_014256	#敵味方識別ができないハードを退治してください！
ETC_20150918_014257	#エアコンがコントローラ破壊を阻止しようとします！
ETC_20150918_014258	#王陵を破壊しようとする王陵の守護者を阻止してください！
