QUEST_LV_0100_20150317_000001	警戒兵
QUEST_LV_0100_20150317_000002	クラペダへ行くなら、陰森街道の方へ行くといいですよ。{nl}森の奥は危険なので、むやみに立ち入らないようにしてください。
QUEST_LV_0100_20150317_000003	隠れている男
QUEST_LV_0100_20150317_000004	つ…ついに！救助隊が来たのか？{nl}何だよ！若造一人なのか？おい、まだその辺をゴブリンがウロウロしてるか？
QUEST_LV_0100_20150317_000005	ううっ…失せろ！話しかけるな！ゴブリンに気付かれるだろ！{nl}ここは俺の場所だからさっさと失せろってんだ！
QUEST_LV_0100_20150317_000006	は？嘘つけ！ゴブリンどものイヤな臭いがまだプンプンしてるだろうが！{nl}大人をからかうんじゃない！あっち行け！この木樽に近寄るな！
QUEST_LV_0100_20150317_000007	つ…ついに！救助隊が来たのか？{nl}何だよ！若造一人なのか？こっち見るな！フタを閉めてさっさと失せろ！{nl}
QUEST_LV_0100_20150317_000008	そういえば、お前が持ってるその紙…見たことがある文章だな。{nl}おい、それを貸せ！何だ？目上の者が貸せと言ったらさっさと寄こせ！
QUEST_LV_0100_20150317_000009	これは！！俺のだ！返すもんか！！{nl}お前には絶対に必要無い物だから、破いて捨てる！
QUEST_LV_0100_20150317_000010	チッ、つまんねぇ奴…
QUEST_LV_0100_20150317_000011	女神たちが姿を消してから、初めて現れた兆候です。{nl}もしかしたら、あの多くの人々の中の誰かが女神をまたこの世界に戻してくれるかもしれません。
QUEST_LV_0100_20150317_000012	兵士ブラック
QUEST_LV_0100_20150317_000013	警告します！{nl}モンスターが襲撃中なので、民間人は早く逃げてください！{nl}でもどうして軍事地域に民間人がいるんですか？{nl}
QUEST_LV_0100_20150317_000014	ああ、啓示者様！気付かず、申し訳ございませんでした。{nl}今、補給基地全体をモンスターが襲撃しています。{nl}とりあえず重要な食糧だけでも持ち出したいのですが…どうか、力を貸してください！
QUEST_LV_0100_20150317_000015	しばらく静かだったのに、急に大規模な襲撃が始まったんです。{nl}一体何があったんでしょうか？
QUEST_LV_0100_20150317_000016	何だか嫌な予感はしていましたが…{nl}あんなのが襲ってくるなんて思いませんでしたよ。
QUEST_LV_0100_20150317_000017	食糧は上の方の道を行った先にある第1補給倉庫にあります。{nl}残っている分だけでも…。ああ、困ったな…。
QUEST_LV_0100_20150317_000018	役に立つかと思ってスパルナスが何者なのか、記録しておきました。{nl}私はこう見えても4年前には生物学者だったんですよ。{nl}
QUEST_LV_0100_20150317_000019	この報告書をリュダス様に届けてください。{nl}きっと今頃は中央補給基地にいるはずです。
QUEST_LV_0100_20150317_000020	将校リュダス
QUEST_LV_0100_20150317_000021	ああ、君が噂の啓示者か。よく来てくれたな。{nl}これはブラックの報告書か？{nl}
QUEST_LV_0100_20150317_000022	ふむ…なるほど。{nl}補給品を執拗に破壊して逃げるとは…チュチュに翼が生えた方がマシなくらいの暴れっぷりだな。{nl}
QUEST_LV_0100_20150317_000023	これだけでは足りない。{nl}悪いが、アムジナの曲がり道にいるムディーの報告書ももらって来てくれないか？
QUEST_LV_0100_20150317_000024	リュダス様が来てくれただけでも少し安心できました。
QUEST_LV_0100_20150317_000025	兵士ヨーク
QUEST_LV_0100_20150317_000026	シャウレムどもが大暴れしてるんです。{nl}私もパニック状態で、何をどうすれば良いやら…。{nl}リュダス様なら何とかしてくれると思うんですけど…どうしましょう？
QUEST_LV_0100_20150317_000027	スパルナスだけ倒せば解決する問題なんでしょうか？
QUEST_LV_0100_20150317_000028	力を貸してくれたおかげで、なんとか落ち着けそうですね。{nl}でも…また同じことが起きますよね？そうなったらどうすれば…。
QUEST_LV_0100_20150317_000029	スパルナスですか？本当にどうしようもないんです。{nl}前触れもなくいきなり空に現れて、補給品を全部壊していなくなるから…。{nl}もう鳴き声を聞いただけで頭が痛くなるくらいですよ。
QUEST_LV_0100_20150317_000030	詳しい場所ですか？第2補給倉庫です。{nl}これからまた何度も同じことが繰り返されるのかと思うと、ため息しか出ません。
QUEST_LV_0100_20150317_000031	受け取ってくれ。補給品の中に合った古い穀物を使って餌を作ったのだ。{nl}私は上から奴を誘い出すから、君はこの伐採地を頼む。{nl}どちらかに必ずスパルナスは現れるはずだ。逃さずしっかり退治してくれ。{nl}
QUEST_LV_0100_20150317_000032	このチャンスを逃せばもう倒せないかもしれない。{nl}奴らも知恵が無いわけではないようだからな。
