QUEST_LV_0200_20150317_000001	フィリパス直属部隊員
QUEST_LV_0200_20150317_000002	モンスターの攻撃が勢いを増しています。{nl}覚悟はできていますが、それでも怖いです。
QUEST_LV_0200_20150317_000003	どうせ明日死ぬ運命なら、今日ここで命を捧げます。
QUEST_LV_0200_20150317_000004	指揮官バセニン
QUEST_LV_0200_20150317_000005	劣悪な補給と兵力をどうにかして解決しなければ。{nl}やはりカーティン森を地点ごとにまとめて突破したほうかよいのか。
QUEST_LV_0200_20150317_000006	皆が苦しんでいるのはわかるが、カーティン森を完全に取り返すまでは諦めるわけにはいかない。
QUEST_LV_0200_20150317_000007	上級将校フィリパス
QUEST_LV_0200_20150317_000008	私はこの世に平和を取り戻したい。{nl}そのためには今まで以上に頑張らなければならないのだ。
QUEST_LV_0200_20150317_000009	モンスターに奪われた森を取り返すためなら何でもやります。{nl}命をかける価値は十分にあるんです。
QUEST_LV_0200_20150317_000010	我々の最前線は、フィリパス様の専属部隊で構成されています。{nl}フィリパス様の命令ならば、どんなことでも従う準備ができています。
QUEST_LV_0200_20150317_000011	毎日毎日、死を覚悟して生きています。{nl}いつも持ち歩いている遺書が我々の覚悟の証です。
QUEST_LV_0200_20150317_000012	将校フィリックス
QUEST_LV_0200_20150317_000013	カーティン森の入口は比較的安全だが、これ以上奥まで入るのは危険だ。諦めたほうが良い。
QUEST_LV_0200_20150317_000014	弱いフクロウの彫像
QUEST_LV_0200_20150317_000015	私の力はだんだん弱くなっています。{nl}まだまだ導かなければならない霊魂がたくさん残っているのに…。
QUEST_LV_0200_20150317_000016	怖がるフクロウの彫像
QUEST_LV_0200_20150317_000017	森の神聖な力が弱くなっています。{nl}この先どうなることやら…。
QUEST_LV_0200_20150317_000018	怖い、怖いです。{nl}女神様がいらっしゃる時はこんなことは無かったのに…。
QUEST_LV_0200_20150317_000019	誠実な隊長フクロウ
QUEST_LV_0200_20150317_000020	この森は、フクロウを食う恐ろしい森です。{nl}勇気で乗り越えるしかありません。
QUEST_LV_0200_20150317_000021	巨大な木が現れてから、この森は恐ろしいものに変わってしまいました。{nl}特にルーツクリスタルは見ているだけで恐怖を感じます。
QUEST_LV_0200_20150317_000022	意志のフクロウの彫像
QUEST_LV_0200_20150317_000023	また誰かが犠牲になってしまったようです。{nl}仲間のうちの一人の気配が感じられなくなりました。
QUEST_LV_0200_20150317_000024	女神様からいただいた神聖な力はもうほとんど残っていません。{nl}破壊された後はどうなってしまうのでしょう？{nl}
QUEST_LV_0200_20150317_000025	隊長が分けてくださった力です。{nl}もうこれ以上恐れることはありません。
QUEST_LV_0200_20150317_000026	もう何も怖くありません。{nl}絶対に食われることはないと信じています。
QUEST_LV_0200_20150317_000027	苦しむフクロウの彫像
QUEST_LV_0200_20150317_000028	毎日が不安の連続です。{nl}自分ももうすぐ食われてしまうでしょう。
QUEST_LV_0200_20150317_000029	森がだんだん邪悪な気に満ちてきています。{nl}一体女神様はどこに行かれてしまったのでしょう？
QUEST_LV_0200_20150317_000030	隊長のお気持ちはありがたくいただきました。{nl}モンスターに負けないように頑張るつもりです。
QUEST_LV_0200_20150317_000031	隊長がここまで面倒を見てくださってるんだから…{nl}女神様が戻られるまでは絶対に生き残ります。
QUEST_LV_0200_20150317_000032	部下フクロウ3
QUEST_LV_0200_20150317_000033	ボクらはいつもここにいるけど、ボクらのことをご心配なさっている女神様は一体どこにいるんだろう？
QUEST_LV_0200_20150317_000034	ボクらはただ、人間の霊魂のためだけに存在するのかな？
QUEST_LV_0200_20150317_000035	兵士ドミニク
QUEST_LV_0200_20150317_000036	ここを死守せよという命令と、偵察命令が同時に下されました。{nl}一体どっちに従えば良いのかわかりません。
QUEST_LV_0200_20150317_000037	次からは、どちらでもよいので所属をはっきり決めてもらうように頼むつもりです。{nl}いや、ジュリアン様のほうにお願いしようかな？
QUEST_LV_0200_20150317_000038	その程度のモンスターなら大して問題ないと報告してもよいでしょう。{nl}そうそう、もしサムソンを見かけましたら、いい加減偵察に集中するようにと伝えてください。
QUEST_LV_0200_20150317_000039	私はここを守りますので、ヴェルトイ交差路のほうへパトロールに行ってください。{nl}報告は後ほど私から行うようにします。
QUEST_LV_0200_20150317_000040	兵士サムソン
